write-dominated: 0.5 Enque 0.5 Deque 0 IsEmpty Thread Number: 1 ~ 32, Operation Number: 2000, test times: 16, Time Unit: Nanosecond
ThreadNumber, LockedQueue, LockFreeQueue
1, 251290, 254276
2, 458016, 280201
3, 576090, 486847
4, 744768, 519068
5, 762161, 459730
6, 755481, 575528
7, 716665, 596354
8, 733037, 587936
9, 792449, 697371
10, 804374, 639854
11, 789146, 669017
12, 774076, 659044
13, 799858, 711883
14, 826165, 804260
15, 820567, 694159
16, 820748, 698281
17, 832946, 750090
18, 801288, 702684
19, 873332, 761221
20, 902909, 871977
21, 869488, 827876
22, 935807, 898229
23, 966379, 959889
24, 1.02609e+06, 1.08055e+06
25, 1.03768e+06, 1.13124e+06
26, 1.10404e+06, 1.30203e+06
27, 1.23238e+06, 1.36241e+06
28, 1.32882e+06, 1.55075e+06
29, 1.4368e+06, 1.62143e+06
30, 1.54576e+06, 1.75281e+06
31, 1.75782e+06, 1.84585e+06
32, 1.79915e+06, 1.99467e+06

