mixed: 0.4 Enque 0.4 Deque 0.2 IsEmpty Thread Number: 1 ~ 32, Operation Number: 2000, test times: 16, Time Unit: Nanosecond
ThreadNumber, LockedQueue, LockFreeQueue
1, 196830, 179906
2, 366902, 193581
3, 413163, 219790
4, 415752, 221823
5, 411988, 239331
6, 433733, 262109
7, 425514, 260461
8, 432633, 267281
9, 447539, 278291
10, 437379, 260989
11, 444293, 278936
12, 442035, 274800
13, 469191, 285099
14, 452731, 283783
15, 466980, 294548
16, 507095, 299019
17, 484051, 312345
18, 493060, 335621
19, 519298, 339571
20, 548788, 381622
21, 604038, 390784
22, 597180, 428148
23, 618879, 464116
24, 645891, 479755
25, 652502, 512208
26, 640962, 558205
27, 656939, 508921
28, 683882, 560382
29, 700300, 565872
30, 729852, 614564
31, 730473, 645183
32, 750437, 682174

